ánnuitehtadoaba	1. annuitetsbegrep;  
čuokkisčoahkku	1. oppløsning;  
beallejorbafiilu	1. halvrundfil;  
geassesajdoallu	1. seterbruk;  
buhtisindoallu	1. hygiene;  
sosialgollu	1. sosial kostnad;  
kapitálgollu	1. kapitalkostnad;  
vegetarbiebmu	1. vegetarmat;  
tearbmugádnu	1. TV-kanne;  
biru	1. djevel;  
luoddearru	1. vegkryss;  
leidangvearru	1. leidangskatt;  
signálbeaktu	1. signaleffekt;  
kruoktu	1. kruttåte;  
sisabidjureantu	1. innskuddsrente;  
oasuskapitálkontu	1. aksjekapitalskonto, konto for aksjekapital;  
busgáhttu	1. katt;  
eŋgelasgielmáhttu	1. engelskkunnskap;  
preantagálvu	1. trykksak;  
átŋu	1. keip;  
rastabuođđu	1. overstengsel;  
áhkalakkisgiehtaváđđu	1. håkjerringjuksa;  
rohoguoddá	1. rohopute;  
pandá	1. panda;  
kafeá	1. kafe;  
kommunikeá	1. kommuniké;  
dreaggá	1. dregg;  
meieriijá	1. meieri;  
politiijá	1. politi;  
govddodanliinná	1. snik;  
sosialdemokráhtalaš	1. sosialdemokrat;  
hammerfeastalaš	1. hammerfesting;  
almennetriektelaš	1. allmenningsrettshaver;  
sosiálovddasmoraš	1. sosialomsorg;  
luohkká-luohttevaš	1. klassekontakt;  
fiervaviroš	1. fjæreplytt;  
bertoš	1. villreinsnare;  
moaitamuš	1. bebreidelse;  
gulloguovddáš	1. høresentral;  
mearamilitearguovddáš	1. marinebase;  
	
