lihttar ___ n ___ 
lihkkosávaldat ___ n ___ 
lahttovuohta ___ n ___ 
kulturásahus ___ n ___ 
kulturfestivála ___ n ___ 
jaskesvuohta ___ n ___ 
interimstivra ___ n ___ 
hálo ___ n ___ 
huikkas ___ n ___ 
gártá ___ n ___ 
guovžabivdu ___ n ___ 
guovddášdoaimmahat ___ n ___ 
goikkádat ___ n ___ 
gilvvagárdesearvi ___ n ___ 
giellaášši ___ n ___ 
geahčastat ___ n ___ 
friddjagirku ___ n ___ 
filbmanásti ___ n ___ 
ealáhusguovddáš ___ n ___ 
eaiggáduššan ___ n ___ 
eahpečielggasvuohta ___ n ___ 
cabareta ___ n ___ 
báikedoallu ___ n ___ 
báhppasuohkan ___ n ___ 
buolašceahkki ___ n ___ 
boraspireváttisvuohta ___ n ___ 
boazodoallohálddašeapmi ___ n ___ 
bearráigeahččanlávdegoddi ___ n ___ 
beaiveaviisa ___ n ___ 
badjeolmmái ___ n ___ 
čeabetbáddi ___ n ___ 
ámmat ___ n ___ 
váhnenguovttos ___ n ___ 
vuođus ___ n ___ 
vieljaguovttos ___ n ___ 
vearroeiseváldi ___ n ___ 
universitehtabuohcciviessu ___ n ___ 
sámisohka ___ n ___ 
sámeriekti ___ n ___ 
sámekonferánsa ___ n ___ 
sámegielaviisa ___ n ___ 
sámegielnamma ___ n ___ 
sámegielaviisa ___ n ___ 
sykkeltrimmen ___ n ___ 
suohkanstivraáirras ___ n ___ 
sulla ___ n ___ 
sodji ___ n ___ 
ruhtaváttisvuohta ___ n ___ 
riikarevišuvdna ___ n ___ 
prošeaktaruhta ___ n ___ 
politihkkar ___ n ___ 
nissonáirras ___ n ___ 
mátkkálaš ___ n ___ 
mánáidruhta ___ n ___ 
máilmmeviiddus ___ n ___ 
musihkkavideo ___ n ___ 
muitofoanda ___ n ___ 
miššoneara ___ n ___ 
miljoneara ___ n ___ 
medisiidna ___ n ___ 
liseansa ___ n ___ 
liigegollu ___ n ___ 
kostyma ___ n ___ 
kaleandar ___ n ___ 
jienastanproseanta ___ n ___ 
instrumeanta ___ n ___ 
heargelávdegoddi ___ n ___ 
gállogieddi ___ n ___ 
guolástangoddi ___ n ___ 
gulaskuddanáigi ___ n ___ 
girkogáffe ___ n ___ 
girkobivttas ___ n ___ 
giellaossodat ___ n ___ 
geahččalanortnet ___ n ___ 
gaskadássi ___ n ___ 
fáddágirji ___ n ___ 
ekstremista ___ n ___ 
eanavuovdinstivra ___ n ___ 
eanahálddahus ___ n ___ 
dáhpa ___ n ___ 
dutkanprográmma ___ n ___ 
duodjeoahppu ___ n ___ 
dorvooahcci ___ n ___ 
doaibmaruhta ___ n ___ 
cabare ___ n ___ 
báikkiolmmoš ___ n ___ 
borra ___ n ___ 
boazoorohat ___ n ___ 
boazodoallonissonolmmoš ___ n ___ 
beanavuodjin ___ n ___ 
bargofálaldat ___ n ___ 
bahávuohta ___ n ___ 
antropologa ___ n ___ 
anti-gena ___ n ___ 
1600-lohku ___ n ___ 
čájáhuslatnja ___ n ___ 
čáhceskohter ___ n ___ 
čáhcedrag ___ n ___ 
čuojahanjoavku ___ n ___ 
čakčafeastivála ___ n ___ 
álgoálbmotjahki ___ n ___ 
álbmotregisttar ___ n ___ 
áhččerohkki ___ n ___ 
válgaortnet ___ n ___ 
válgalogahallan ___ n ___ 
váldohálddahus ___ n ___ 
váhnenfierpmádat ___ n ___ 
vuođđovuoigatvuohta ___ n ___ 
vuođđodiehtu ___ n ___ 
vuolitdirektevra ___ n ___ 
verrát ___ n ___ 
vearrolistu ___ n ___ 
tulka ___ n ___ 
sámiservodat ___ n ___ 
sámegielsátni ___ n ___ 
sámeduodji ___ n ___ 
suohkanrádji ___ n ___ 
stállobákti ___ n ___ 
sohkasearvi ___ n ___ 
skuvlaášši ___ n ___ 
skutervuodjin ___ n ___ 
skuterláhttu ___ n ___ 
siidaoassi ___ n ___ 
ráppár ___ n ___ 
ráhki ___ n ___ 
rábbetelefuvdna ___ n ___ 
ruvdnoprinsabárra ___ n ___ 
ruovtturiika ___ n ___ 
referánsajoavku ___ n ___ 
reahkavuodjin ___ n ___ 
rap ___ n ___ 
radiokanála ___ n ___ 
prinsa ___ n ___ 
